spoken,Storage,EdgeTX 2.9,OpenTX 2.3,OpenTx 2.2,OpenTX 2.1,included at v,notes
0,\0000.wav,\SYSTEM\0000.wav,\SYSTEM\0000.wav,\SYSTEM\0000.wav,\SYSTEM\0000.wav,1,
1,\0001.wav,\SYSTEM\0001.wav,\SYSTEM\0001.wav,\SYSTEM\0001.wav,\SYSTEM\0001.wav,1,
2,\0002.wav,\SYSTEM\0002.wav,\SYSTEM\0002.wav,\SYSTEM\0002.wav,\SYSTEM\0002.wav,1,
3,\0003.wav,\SYSTEM\0003.wav,\SYSTEM\0003.wav,\SYSTEM\0003.wav,\SYSTEM\0003.wav,1,
4,\0004.wav,\SYSTEM\0004.wav,\SYSTEM\0004.wav,\SYSTEM\0004.wav,\SYSTEM\0004.wav,1,
5,\0005.wav,\SYSTEM\0005.wav,\SYSTEM\0005.wav,\SYSTEM\0005.wav,\SYSTEM\0005.wav,1,
6,\0006.wav,\SYSTEM\0006.wav,\SYSTEM\0006.wav,\SYSTEM\0006.wav,\SYSTEM\0006.wav,1,
7,\0007.wav,\SYSTEM\0007.wav,\SYSTEM\0007.wav,\SYSTEM\0007.wav,\SYSTEM\0007.wav,1,
8,\0008.wav,\SYSTEM\0008.wav,\SYSTEM\0008.wav,\SYSTEM\0008.wav,\SYSTEM\0008.wav,1,
9,\0009.wav,\SYSTEM\0009.wav,\SYSTEM\0009.wav,\SYSTEM\0009.wav,\SYSTEM\0009.wav,1,
10,\0010.wav,\SYSTEM\0010.wav,\SYSTEM\0010.wav,\SYSTEM\0010.wav,\SYSTEM\0010.wav,1,
11,\0011.wav,\SYSTEM\0011.wav,\SYSTEM\0011.wav,\SYSTEM\0011.wav,\SYSTEM\0011.wav,1,
12,\0012.wav,\SYSTEM\0012.wav,\SYSTEM\0012.wav,\SYSTEM\0012.wav,\SYSTEM\0012.wav,1,
13,\0013.wav,\SYSTEM\0013.wav,\SYSTEM\0013.wav,\SYSTEM\0013.wav,\SYSTEM\0013.wav,1,
14,\0014.wav,\SYSTEM\0014.wav,\SYSTEM\0014.wav,\SYSTEM\0014.wav,\SYSTEM\0014.wav,1,
15,\0015.wav,\SYSTEM\0015.wav,\SYSTEM\0015.wav,\SYSTEM\0015.wav,\SYSTEM\0015.wav,1,
16,\0016.wav,\SYSTEM\0016.wav,\SYSTEM\0016.wav,\SYSTEM\0016.wav,\SYSTEM\0016.wav,1,
17,\0017.wav,\SYSTEM\0017.wav,\SYSTEM\0017.wav,\SYSTEM\0017.wav,\SYSTEM\0017.wav,1,
18,\0018.wav,\SYSTEM\0018.wav,\SYSTEM\0018.wav,\SYSTEM\0018.wav,\SYSTEM\0018.wav,1,
19,\0019.wav,\SYSTEM\0019.wav,\SYSTEM\0019.wav,\SYSTEM\0019.wav,\SYSTEM\0019.wav,1,
20,\0020.wav,\SYSTEM\0020.wav,\SYSTEM\0020.wav,\SYSTEM\0020.wav,\SYSTEM\0020.wav,1,
21,\0021.wav,\SYSTEM\0021.wav,\SYSTEM\0021.wav,\SYSTEM\0021.wav,\SYSTEM\0021.wav,1,
22,\0022.wav,\SYSTEM\0022.wav,\SYSTEM\0022.wav,\SYSTEM\0022.wav,\SYSTEM\0022.wav,1,
23,\0023.wav,\SYSTEM\0023.wav,\SYSTEM\0023.wav,\SYSTEM\0023.wav,\SYSTEM\0023.wav,1,
24,\0024.wav,\SYSTEM\0024.wav,\SYSTEM\0024.wav,\SYSTEM\0024.wav,\SYSTEM\0024.wav,1,
25,\0025.wav,\SYSTEM\0025.wav,\SYSTEM\0025.wav,\SYSTEM\0025.wav,\SYSTEM\0025.wav,1,
26,\0026.wav,\SYSTEM\0026.wav,\SYSTEM\0026.wav,\SYSTEM\0026.wav,\SYSTEM\0026.wav,1,
27,\0027.wav,\SYSTEM\0027.wav,\SYSTEM\0027.wav,\SYSTEM\0027.wav,\SYSTEM\0027.wav,1,
28,\0028.wav,\SYSTEM\0028.wav,\SYSTEM\0028.wav,\SYSTEM\0028.wav,\SYSTEM\0028.wav,1,
29,\0029.wav,\SYSTEM\0029.wav,\SYSTEM\0029.wav,\SYSTEM\0029.wav,\SYSTEM\0029.wav,1,
30,\0030.wav,\SYSTEM\0030.wav,\SYSTEM\0030.wav,\SYSTEM\0030.wav,\SYSTEM\0030.wav,1,
31,\0031.wav,\SYSTEM\0031.wav,\SYSTEM\0031.wav,\SYSTEM\0031.wav,\SYSTEM\0031.wav,1,
32,\0032.wav,\SYSTEM\0032.wav,\SYSTEM\0032.wav,\SYSTEM\0032.wav,\SYSTEM\0032.wav,1,
33,\0033.wav,\SYSTEM\0033.wav,\SYSTEM\0033.wav,\SYSTEM\0033.wav,\SYSTEM\0033.wav,1,
34,\0034.wav,\SYSTEM\0034.wav,\SYSTEM\0034.wav,\SYSTEM\0034.wav,\SYSTEM\0034.wav,1,
35,\0035.wav,\SYSTEM\0035.wav,\SYSTEM\0035.wav,\SYSTEM\0035.wav,\SYSTEM\0035.wav,1,
36,\0036.wav,\SYSTEM\0036.wav,\SYSTEM\0036.wav,\SYSTEM\0036.wav,\SYSTEM\0036.wav,1,
37,\0037.wav,\SYSTEM\0037.wav,\SYSTEM\0037.wav,\SYSTEM\0037.wav,\SYSTEM\0037.wav,1,
