Spoken,storage,Scripts location
Acro flight mode,\acrofm.wav,\SCRIPTS\YAAPU\acro.wav
Acro mode,\acromd.wav,\SCRIPTS\YAAPU\acro_r.wav
Acro Mode,\acromd.wav,\SCRIPTS\INAV\acromd.wav
Active,\active.wav,\SCRIPTS\INAV\active.wav
Altitude,\alt.wav,\SCRIPTS\YAAPU\alt.wav
Altitude control mode,\altctl.wav,\SCRIPTS\YAAPU\altctl.wav
Altitude hold flight mode,\althold.wav,\SCRIPTS\YAAPU\althold.wav
Auto flight mode,\autofm.wav,\SCRIPTS\YAAPU\auto.wav
Auto mission mode,\mission.wav,\SCRIPTS\YAAPU\mission.wav
Auto mode,\automd.wav,\SCRIPTS\YAAPU\auto_r.wav
Auto RTL flight mode,\autortl.wav,\SCRIPTS\YAAPU\autortl.wav
Auto takeoff mode,\takeoff.wav,\SCRIPTS\YAAPU\takeoff.wav
autorotate flight mode,\autrt.wav,\SCRIPTS\YAAPU\autorotate.wav
Autotune enabled,\atunen.wav,\SCRIPTS\YAAPU\autotune.wav
AutoTune: Failed,\atunfl.wav,\SCRIPTS\YAAPU\1396289024.wav
AutoTune: Success,\atunsc.wav,\SCRIPTS\YAAPU\1008001424.wav
Avoid A D S B flight mode,\avdads.wav,\SCRIPTS\YAAPU\avoidadsb.wav
Battery,\battry.wav,\SCRIPTS\INAV\battry.wav
Battery alert,\batlrt.wav,\SCRIPTS\YAAPU\batalert.wav
Battery at 10 percent,\bat10.wav,\SCRIPTS\YAAPU\bat10.wav
Battery at 15 percent,\bat15.wav,\SCRIPTS\YAAPU\bat15.wav
Battery at 20 percent,\bat20.wav,\SCRIPTS\YAAPU\bat20.wav
Battery at 25 percent,\bat25.wav,\SCRIPTS\YAAPU\bat25.wav
Battery at 30 percent,\bat30.wav,\SCRIPTS\YAAPU\bat30.wav
Battery at 40 percent,\bat40.wav,\SCRIPTS\YAAPU\bat40.wav
Battery at 5 percent,\bat5.wav,\SCRIPTS\YAAPU\bat5.wav
Battery at 50 percent,\bat50.wav,\SCRIPTS\YAAPU\bat50.wav
Battery at 60 percent,\bat60.wav,\SCRIPTS\YAAPU\bat60.wav
Battery at 70 percent,\bat70.wav,\SCRIPTS\YAAPU\bat70.wav
Battery at 80 percent,\bat80.wav,\SCRIPTS\YAAPU\bat80.wav
Battery at 90 percent,\bat90.wav,\SCRIPTS\YAAPU\bat90.wav
Battery Critical,\batcri.wav,\SCRIPTS\INAV\batcrt.wav
Battery level 1 alert,\batlt1.wav,\SCRIPTS\YAAPU\batalert1.wav
Battery level 2 alert,\batlt2.wav,\SCRIPTS\YAAPU\batalert2.wav
Brake flight mode,\brkfm.wav,\SCRIPTS\YAAPU\brake.wav
Circle flight mode,\circfm.wav,\SCRIPTS\YAAPU\circle.wav
Cruise flight mode,\crsfm.wav,\SCRIPTS\YAAPU\cruise.wav
Cruise mode,\crsmd.wav,\SCRIPTS\INAV\cruzmd.wav
D,\d.wav,\SCRIPTS\BETAFLIGHT\d.wav
D Set point,\dsetpt.wav,\SCRIPTS\BETAFLIGHT\dsetpt.wav
Danger,\danger.wav,\SCRIPTS\INAV\danger.wav
Distance,\dist.wav,\SCRIPTS\YAAPU\dist.wav
Drift flight mode,\drftfm.wav,\SCRIPTS\YAAPU\drift.wav
E K F failsafe,\ekf.wav,\SCRIPTS\YAAPU\ekf.wav
EKF variance,\ekfvar.wav,\SCRIPTS\YAAPU\2386213680.wav
Engine Armed,\engarm.wav,\SCRIPTS\INAV\engarm.wav
Engine Disarmed,\engdrm.wav,\SCRIPTS\INAV\engdrm.wav
failsafe,\fsafe.wav,\SCRIPTS\YAAPU\failsafe.wav
Failsafe Off,\fsoff.wav,\SCRIPTS\INAV\fsoff.wav
